word,R,G,B
ink,30,30,30
inkling,170,120,145
inland,139,69,19
inlet,30,100,200
inmate,142,85,15
inn,133,98,73
innate,30,100,200
innings,34,139,34
innkeeper,139,69,19
innocence,255,255,255
innocent,255,255,255
innocuous,255,217,236
innovate,34,139,34
innovation,255,255,255
innuendo,255,215,0
innumerable,237,137,137
inoperative,128,128,128
inorganic,128,128,128
inquest,30,30,30
inquire,255,215,0
inquirer,142,157,100
inquiring,255,215,0
inquiry,34,139,34
inquisitive,255,177,0
insane,255,255,255
insanity,237,98,10
inscription,105,105,105
insect,34,139,34
insecure,255,215,0
insecurity,30,100,200
inseparable,30,100,200
insert,142,122,15
inserted,128,128,128
insertion,255,215,0
inside,139,69,19
insidious,30,30,30
insignia,142,150,121
insignificance,79,79,79
insignificant,212,186,42
insipid,191,116,154
insolent,139,69,19
insoluble,128,128,128
insolvency,149,49,49
insolvent,127,79,27
inspect,128,128,128
inspiration,255,215,0
inspire,255,255,255
instability,174,74,74
install,220,20,20
installment,34,139,34
instance,255,255,255
instant,255,197,127
instantaneous,255,215,0
instantaneously,191,191,191
instigation,144,197,144
instill,81,133,81
instinct,144,197,144
instinctive,169,99,18
institute,128,128,128
institution,133,133,133
instruct,30,100,200
instruction,137,124,153
instructions,255,255,255
instructive,255,255,255
instrument,133,98,73
instrumentality,128,128,128
insufficiency,158,108,108
insufficient,174,74,74
insufficiently,139,69,19
insular,95,118,152
insulate,128,128,128
insulation,144,197,144
insult,125,25,25
insulting,30,30,30
insurance,34,139,34
insure,255,235,127
insurgent,30,30,30
insurmountable,220,20,20
insurrection,125,25,25
intact,212,212,212
intangible,128,128,128
integer,142,142,142
integral,30,30,30
integrate,128,128,128
integration,30,100,200
integrity,34,139,34
intellect,128,128,128
intellectual,191,191,191
intelligence,133,118,168
intelligent,30,100,200
intelligibility,30,100,200
intelligible,127,79,27
intended,237,137,137
intending,191,134,64
intense,220,20,20
intensely,220,20,20
intensify,220,20,20
intensity,191,127,191
intent,128,0,128
intention,84,49,24
intentional,255,215,0
intentionally,255,215,0
inter,30,30,30
interaction,255,140,0
interception,30,30,30
intercession,255,255,255
interchange,134,90,59
interchangeable,128,128,128
interchanged,255,140,0
intercom,81,133,81
interdependence,128,128,128
interdiction,125,25,25
interest,34,139,34
interested,255,215,0
interference,255,215,0
interferometer,191,191,191
interim,212,174,127
interior,141,141,158
interlocutory,255,140,0
intermediary,128,128,128
intermediate,191,152,64
interment,30,30,30
interminable,128,128,128
intermission,197,162,137
intermittent,191,134,64
intern,128,0,128
internal,168,75,133
international,30,100,200
interpolate,30,30,30
interpolation,95,76,152
interpretation,30,100,200
interpreter,255,255,255
interrogate,79,79,79
interrogation,220,20,20
interrupt,125,25,25
interrupted,220,20,20
interruption,142,122,15
intersect,169,138,103
intersection,128,128,128
interstitial,220,20,20
interval,212,212,212
interview,79,114,164
interworking,32,84,32
intestate,30,30,30
intestine,237,62,100
intestines,237,62,100
intimation,30,30,30
intimidate,237,117,10
intimidation,125,25,25
intolerance,158,92,92
intolerant,106,47,26
intonation,125,60,110
intoxication,144,139,17
intricate,212,124,102
intrigue,79,79,79
intriguing,255,255,255
introduction,255,255,255
introductory,135,120,177
introspection,30,100,200
intruder,30,30,30
intrusion,30,30,30
intrusive,125,25,25
intuition,167,174,145
intuitive,255,215,0
invade,231,85,13
invader,30,30,30
invalid,30,65,115
invalidate,197,162,137
invalidity,139,69,19
invaluable,255,255,255
invariably,30,30,30
invasion,156,23,23
invention,255,215,0
inventive,34,139,34
inventor,128,128,128
inventory,255,255,255
inverse,128,128,128
inversely,128,128,128
inversion,133,98,73
inverted,255,140,0
investigation,79,114,164
investigator,128,128,128
invigorate,220,20,20
invisibility,255,255,255
invisible,255,255,255
invitation,255,241,170
invite,144,122,107
invocation,105,128,161
invoice,220,20,20
invoke,243,176,176
involuntary,139,69,19
iota,255,235,127
irate,220,20,20
ire,139,69,19
iridescent,255,215,0
iris,128,0,128
iron,128,128,128
irons,79,79,79
irony,255,255,255
irradiation,220,20,20
irrational,125,25,25
irrationality,128,128,128
irreconcilable,30,30,30
irreducible,255,140,0
irrefutable,32,84,32
irregular,197,142,9
irregularity,135,88,55
irregularly,191,171,64
irrelevant,128,128,128
irreparable,30,30,30
irresistible,255,140,0
irreverent,79,79,79
irreversible,128,128,128
irrevocable,142,142,142
irrigate,30,100,200
irrigation,31,113,144
irritability,220,20,20
irritable,220,20,20
irritating,168,63,16
irritation,220,20,20
island,34,139,34
isle,34,139,34
islet,30,100,200
isolated,170,157,85
isolation,255,255,255
isomorphism,128,128,128
isothermal,220,20,20
issue,220,20,20
itch,237,62,100
itching,237,62,100
item,170,170,170
itemize,79,79,79
items,255,255,255
iterate,34,139,34
iterative,34,139,34
itinerant,34,139,34
itinerary,142,142,142
ivory,255,255,255
jabber,255,215,0
jackass,139,69,19
jackpot,255,215,0
jade,220,20,20
jaguar,30,30,30
jail,255,140,0
jam,128,0,128
janitor,34,139,34
jar,191,134,64
jargon,170,46,85
jarring,128,0,128
jasper,220,20,20
jaundice,255,215,0
javelin,128,128,128
jaw,255,255,255
jaws,191,191,191
jay,30,100,200
jealous,34,139,34
jealousy,34,139,34
jeans,30,100,200
jelly,128,0,128
jenny,141,79,16
jeopardize,220,20,20
jeopardy,30,30,30
jersey,30,100,200
jester,34,139,34
jet,79,79,79
jetty,30,65,115
jewel,255,255,255
jeweler,30,100,200
jimmy,30,30,30
job,99,75,59
jock,255,255,255
jog,30,100,200
john,139,69,19
join,34,139,34
joined,255,255,255
joining,255,140,0
joint,34,139,34
joke,30,100,200
joker,128,0,128
joking,243,113,66
jolt,255,177,0
jot,79,79,79
journal,255,255,255
journalism,30,30,30
journalist,255,215,0
journey,128,128,128
jovial,255,255,255
joyful,255,160,90
joyous,255,215,0
jubilant,243,150,6
jubilee,255,215,0
judge,30,30,30
judgment,30,100,200
judicial,30,30,30
judiciary,255,255,255
judicious,255,255,255
jug,197,162,137
juice,255,140,0
juicy,214,75,37
jumble,139,69,19
jumbled,128,128,128
jumbo,142,102,190
jump,30,100,200
junction,255,255,255
juncture,137,137,137
jungle,34,139,34
junk,133,98,73
junta,197,142,9
juridical,84,49,24
jurisdiction,84,49,24
jurisprudence,30,100,200
jurist,84,49,24
jury,30,30,30
justice,30,30,30
justifiable,142,177,227
justification,255,215,0
jute,34,139,34
juvenile,79,50,164
juxtaposition,128,128,128
kaiser,128,0,128
kaleidoscope,128,0,128
kangaroo,139,69,19
kanji,30,30,30
karma,220,20,20
kayak,34,139,34
keel,133,98,73
keepsake,191,116,154
keg,139,69,19
ken,30,100,200
kennel,133,98,73
kern,128,128,128
kernel,255,215,0
kerosene,255,215,0
kettle,30,30,30
key,180,166,95
keyhole,79,79,79
keynote,34,139,34
keystone,128,128,128
khaki,139,69,19
khan,220,20,20
kick,191,107,64
kicking,220,20,20
kid,255,180,217
kidding,255,215,0
kidnap,125,25,25
kill,30,30,30
killing,220,20,20
kiln,237,80,10
kilogram,139,69,19
kilt,220,20,20
kimono,220,20,20
kin,30,100,200
kind,255,255,255
kingdom,128,0,128
kink,191,107,64
kiosk,139,69,19
kirk,139,69,19
kiss,220,20,20
kit,139,69,19
kitchen,255,235,127
kite,34,139,34
knack,144,139,17
knapsack,139,69,19
knead,197,162,137
knee,255,180,217
kneeling,255,255,255
knife,128,128,128
knight,255,255,255
knit,79,15,79
knock,139,69,19
knoll,34,139,34
knot,197,142,9
knotted,156,71,46
knowing,255,255,255
knowingly,34,139,34
knowledge,255,255,255
knuckle,220,20,20
kris,128,128,128
kudos,139,69,19
lab,255,255,255
label,106,141,106
labor,142,104,77
laboratory,255,255,255
laboring,30,30,30
laborious,102,56,22
labyrinth,191,191,191
lace,255,255,255
lack,91,75,91
lacking,128,128,128
lackluster,128,128,128
lacquer,141,118,101
lacrosse,255,140,0
lad,30,100,200
laden,139,69,19
lading,139,69,19
ladle,139,69,19
lady,255,155,205
lag,31,89,88
lagoon,30,100,200
lair,139,69,19
laity,34,139,34
lake,30,100,200
lama,255,255,255
lamb,255,255,255
lament,30,30,30
lamenting,128,128,128
lamina,128,128,128
laminated,255,255,255
lamp,255,215,0
lance,174,74,74
lancer,128,128,128
land,115,94,43
landed,32,84,32
landlocked,139,69,19
landlord,128,128,128
landmark,86,104,26
lands,34,139,34
landscape,34,139,34
landscaping,34,139,34
landslide,139,69,19
lane,191,191,191
language,255,255,255
languid,168,184,104
languish,139,69,19
languishing,30,30,30
lanky,128,128,128
lantern,255,215,0
lap,255,255,255
lapel,197,87,99
lapse,64,99,64
lapsed,30,30,30
larceny,30,30,30
lard,255,215,0
large,30,30,30
larger,255,215,0
larva,255,215,0
laser,220,20,20
lash,220,20,20
lass,255,105,180
lasso,139,69,19
latch,255,215,0
late,30,30,30
latent,191,191,191
lateral,30,100,200
laterally,128,128,128
latex,255,255,255
lathe,139,69,19
lather,255,255,255
latitude,172,132,109
latrines,139,69,19
lattice,197,162,137
laugh,220,20,20
laughable,255,215,0
laughing,255,215,0
laughter,255,215,0
launch,255,255,255
laundry,255,255,255
laureate,34,139,34
laurels,34,139,34
lava,220,20,20
lavatory,255,255,255
lavender,128,0,128
lavish,118,90,79
law,255,255,255
lawful,255,255,255
lawlessness,105,91,20
lawn,34,139,34
lawsuit,30,30,30
lawyer,30,30,30
lax,191,191,191
laxative,139,69,19
layer,255,255,255
layered,255,215,0
layman,128,128,128
lazy,30,100,200
lea,34,139,34
lead,34,139,34
leader,125,60,110
leading,180,151,66
leaf,34,139,34
leaflet,34,139,34
leafy,34,139,34
league,255,140,0
leak,79,114,164
leakage,84,84,109
leaky,30,100,200
leaned,255,215,0
leaning,136,162,136
learn,142,142,142
learner,255,215,0
learning,144,197,144
lease,255,105,180
leash,84,49,24
leather,139,69,19
leathery,139,69,19
leave,30,100,200
lecture,255,235,127
lecturer,128,128,128
ledge,132,104,84
ledger,31,66,31
lee,128,128,128
leech,30,30,30
leeches,142,85,15
leery,128,128,128
lees,139,69,19
leeway,34,139,34
leg,255,255,255
legal,180,180,180
legality,142,177,227
legend,255,255,255
legendary,128,0,128
legibility,30,30,30
legion,34,139,34
legislate,255,255,255
legislation,191,191,191
legislative,142,142,142
legislator,139,69,19
legislature,67,79,27
legume,34,139,34
leisure,255,255,255
leisurely,255,255,255
lemon,255,215,0
lend,174,74,74
lending,255,215,0
length,30,30,30
lengthen,139,69,19
lengthened,34,139,34
lengthening,139,69,19
lengthy,197,142,9
leniency,255,105,180
lenient,255,235,127
lens,255,255,255
leopard,30,30,30
leprosy,139,69,19
lesbian,255,105,180
lesbianism,255,105,180
lessee,34,139,34
lessen,255,215,0
lessening,84,49,24
lesser,139,69,19
lesson,30,100,200
lethal,30,30,30
lethargic,139,69,19
lethargy,139,69,19
letter,180,180,180
lettered,128,0,128
letters,255,255,255
lettuce,34,139,34
leukemia,30,30,30
levee,139,69,19
level,255,255,255
lever,79,79,79
leverage,34,139,34
levy,80,115,80
lewd,30,30,30
lexicon,79,79,79
ley,34,139,34
liaison,220,20,20
liar,30,30,30
libel,125,25,25
libelous,81,69,81
liberal,220,20,20
liberate,255,255,255
liberation,144,197,144
liberty,201,91,134
libido,255,105,180
librarian,139,69,19
library,139,69,19
libretto,142,142,142
license,34,139,34
lichen,34,139,34
lie,30,30,30
liege,220,20,20
lien,237,137,137
lieutenant,62,86,119
life,34,139,34
lifeblood,220,20,20
lifeless,79,79,79
lifelike,255,105,180
lifelong,128,0,128
lift,128,128,128
ligament,255,255,255
light,255,215,0
lighten,255,255,255
lighthouse,255,215,0
lightness,255,255,255
lightning,255,228,85
likelihood,34,139,34
likeness,128,128,128
likewise,34,139,34
liking,255,191,145
lilac,128,0,128
lily,255,255,255
limb,255,191,145
limbo,128,128,128
limit,30,30,30
limitation,30,30,30
limited,255,255,255
limitless,30,30,30
limousine,30,30,30
limp,174,100,109
lin,30,100,200
line,255,215,0
lineage,96,131,96
lineal,30,30,30
linear,255,255,255
lined,30,30,30
linen,255,255,255
liner,255,255,255
linger,137,111,169
lingo,86,104,26
lingual,191,116,154
linguist,255,255,255
lining,255,235,127
link,128,128,128
linoleum,139,69,19
lint,128,128,128
lion,216,166,6
lip,255,105,180
lipstick,220,20,20
liquefaction,30,100,200
liquefied,30,100,200
liqueur,139,69,19
liquid,30,100,200
liquidate,34,139,34
liquidation,34,139,34
liquidator,32,84,32
liquidity,79,50,164
liquor,139,69,19
listen,128,128,128
listing,255,255,255
listless,79,114,164
litany,255,255,255
literally,194,176,164
literary,139,69,19
literature,255,255,255
lithograph,30,30,30
lithography,30,30,30
lithology,255,255,255
lithosphere,139,69,19
litigant,95,95,95
litigious,30,65,115
litter,139,69,19
liturgy,255,255,255
livery,255,255,255
livid,128,0,128
llama,139,69,19
load,139,69,19
loaf,139,69,19
loafer,139,69,19
loam,139,69,19
loath,125,25,25
loathe,30,30,30
loathing,30,30,30
loathsome,125,25,25
lobbyist,30,30,30
lobe,255,197,127
local,34,139,34
locality,86,104,26
locate,255,215,0
location,139,174,139
loch,32,119,117
lock,128,128,128
locker,128,128,128
lockup,128,128,128
locomotive,30,30,30
locust,34,139,34
lodge,139,69,19
lodger,84,84,109
lodging,139,69,19
loft,139,69,19
log,139,69,19
logarithm,30,30,30
logarithmic,255,255,255
logic,79,79,79
logical,255,140,0
logistics,30,30,30
logotype,30,30,30
loin,255,105,180
lollipop,220,20,20
lone,128,128,128
loneliness,128,128,128
lonely,79,114,164
lonesome,128,128,128
longevity,30,100,200
longing,79,50,164
longitude,30,100,200
longitudinal,255,255,255
longitudinally,30,100,200
loo,197,162,137
lookout,168,88,16
loom,255,255,255
looming,255,255,255
loon,255,215,0
loop,191,171,64
loophole,30,30,30
loosen,128,128,128
loosening,255,255,255
loot,144,177,17
lop,220,20,20
lords,128,0,128
lordship,128,0,128
lore,255,215,0
lorry,128,128,128
lose,79,79,79
losing,220,20,20
loss,30,30,30
lost,30,30,30
lotion,255,255,255
lots,125,60,110
lottery,34,139,34
lotto,144,197,144
lounge,255,215,0
louse,30,30,30
lovable,255,105,180
love,255,105,180
lovely,255,105,180
lovemaking,255,105,180
lover,220,20,20
loving,255,105,180
lower,128,128,128
lowering,30,100,200
lowest,30,30,30
lowlands,139,69,19
lowly,128,128,128
loyal,30,100,200
loyalty,142,177,227
lubricate,255,255,255
lubrication,142,122,15
luck,34,139,34
lug,128,128,128
luggage,139,69,19
lull,191,191,191
lullaby,255,105,180
lumbar,128,128,128
lumber,139,69,19
lumbering,139,69,19
luminescent,255,255,255
lump,160,111,45
lunatic,220,20,20
luncheon,34,139,34
lunge,125,25,25
lungs,237,62,100
lurch,107,116,77
lure,79,79,79
lurid,220,20,20
lurk,79,79,79
lurking,139,69,19
lush,127,79,27
lust,220,20,20
luster,255,228,85
lustful,220,20,20
lusty,255,215,0
lute,255,215,0
luxury,255,255,255
lying,185,108,41
lymph,255,255,255
lynch,30,30,30
lynx,139,69,19
lyre,255,215,0
lyric,255,255,255
mace,30,30,30
machine,128,128,128
machinist,128,128,128
mad,220,20,20
madam,255,105,180
madden,220,20,20
madman,156,23,23
madness,95,52,95
mafia,30,30,30
magazine,120,120,120
mage,30,100,200
magenta,220,20,20
maggot,255,255,255
magic,128,0,128
magician,79,50,164
magistrate,62,20,62
magma,220,20,20
magnate,220,20,20
magnet,95,118,152
magnetism,220,20,20
magnetite,128,128,128
magnifier,128,128,128
magnitude,94,61,46
magpie,30,30,30
maid,128,0,128
maiden,212,120,187
mail,138,165,202
main,99,99,115
mainland,34,139,34
maintenance,139,69,19
majestic,128,0,128
majesty,212,170,212
major,220,20,20
maker,220,20,20
makeshift,255,140,0
malady,34,139,34
malaria,30,30,30
male,30,100,200
malevolent,30,30,30
malfeasance,255,140,0
malformation,142,177,227
malice,31,66,31
malicious,125,25,25
malign,128,128,128
malignancy,30,30,30
malignant,125,25,25
mall,139,69,19
mallet,139,69,19
malpractice,30,30,30
mamma,255,255,255
mammal,139,69,19
mammoth,139,69,19
man,105,151,218
manage,79,114,164
manager,128,0,128
mandarin,220,20,20
mandate,30,30,30
mandible,255,255,255
mandolin,139,69,19
mandrel,191,191,191
mane,139,69,19
maneuver,32,119,117
maneuvering,128,0,128
mange,220,20,20
manger,139,69,19
mangle,193,36,19
mango,142,120,100
mangosteen,255,140,0
manhood,34,139,34
mania,220,20,20
maniac,30,30,30
maniacal,30,30,30
manicure,255,105,180
manifestation,137,137,137
manifesto,30,30,30
manifold,255,255,255
manipulate,32,84,32
manipulation,30,30,30
manly,30,76,143
manner,79,82,164
manners,255,255,255
mansion,255,255,255
manslaughter,30,30,30
manual,142,136,102
manufacturer,255,255,255
manure,139,69,19
manuscript,255,255,255
map,143,187,186
marble,30,100,200
march,85,103,82
mare,139,69,19
margin,212,212,212
marijuana,34,139,34
marine,30,100,200
mariner,30,100,200
maritime,30,100,200
mark,255,255,255
marked,77,27,27
market,34,139,34
marks,220,20,20
marl,139,69,19
maroon,156,23,23
married,255,255,255
marrow,206,162,167
marry,255,255,255
marsh,95,81,91
marshal,106,126,78
mart,30,100,200
martial,220,20,20
martingale,30,30,30
martyr,220,20,20
martyrdom,55,99,98
marvel,255,255,255
masculine,84,84,109
masculinity,30,100,200
mash,165,130,105
mask,30,30,30
masochism,30,30,30
mason,139,69,19
masquerade,128,0,128
mass,139,69,19
massacre,220,20,20
massage,255,105,180
master,174,10,74
mastermind,30,30,30
masturbate,255,255,255
mat,128,0,128
match,255,140,0
matchmaker,255,255,255
mate,255,105,180
material,128,128,128
materialism,34,139,34
materialist,220,20,20
materiel,128,128,128
maternal,255,105,180
maternity,165,162,133
mathematician,30,100,200
matriculation,255,105,180
matrimony,255,255,255
matrix,30,30,30
matron,34,139,34
matter,84,49,24
matting,139,69,19
mattress,255,255,255
maturation,255,215,0
maturity,128,128,128
mausoleum,84,49,24
mauve,128,0,128
maxim,220,20,20
maximum,220,20,20
mayor,105,151,218
maze,81,81,94
mead,86,104,26
meadow,34,139,34
meal,133,98,73
meander,128,128,128
meaning,197,87,99
meaningless,30,30,30
measles,30,30,30
measurable,34,139,34
measured,30,100,200
measurement,30,30,30
measuring,255,255,255
meat,220,20,20
mechanic,79,79,79
mechanical,79,79,79
mechanism,128,128,128
medal,248,176,4
medallion,255,215,0
meddle,220,20,20
meddling,220,20,20
media,30,30,30
medial,128,128,128
median,142,142,142
mediate,69,97,137
mediator,81,133,81
medical,255,255,255
medicinal,255,255,255
medicine,220,20,20
mediocre,128,128,128
mediocrity,79,79,79
meditate,255,255,255
meditation,255,255,255
meditative,142,142,142
mediterranean,142,157,100
medium,128,64,128
meek,255,255,255
meet,255,140,0
meeting,34,139,34
melancholic,30,76,143
melancholy,30,100,200
melee,179,44,19
melodious,255,215,0
melodramatic,128,0,128
melody,142,157,100
melt,255,235,127
meltdown,30,30,30
melting,105,138,133
member,69,115,29
memento,255,105,180
memoir,79,50,164
memorabilia,255,255,255
memorable,30,100,200
memorandum,255,255,255
memorial,30,30,30
memorials,30,30,30
memorize,255,255,255
memory,30,100,200
menace,125,25,25
menacing,237,137,137
menagerie,133,34,73
mend,255,255,255
mending,34,139,34
menial,79,79,79
meniscus,255,255,255
menses,220,20,20
menstrual,220,20,20
mention,128,128,128
menu,139,69,19
mercantile,255,255,255
mercenary,30,30,30
merchandise,139,69,19
merchant,30,100,200
merciful,255,255,255
merciless,220,20,20
mercurial,255,105,180
mercy,255,105,180
merge,81,69,81
meridian,142,120,100
meridional,255,215,0
merit,30,100,200
meritorious,237,117,10
mermaid,30,100,200
merriment,255,215,0
merry,220,20,20
mesa,139,69,19
mesh,128,128,128
meshes,81,133,81
mess,139,69,19
message,255,255,255
messenger,255,215,0
messy,139,69,19
metal,128,128,128
metallurgy,128,128,128
metamorphosis,139,69,19
metaphorical,30,100,200
metaphysics,255,255,255
metastasis,84,49,24
meteor,220,20,20
meteoric,220,20,20
meteorite,139,69,19
meteorological,30,100,200
meter,212,212,212
method,191,171,64
methodical,128,128,128
meticulous,220,20,20
metric,128,128,128
metrical,191,191,191
metrology,255,140,0
metropolis,30,100,200
metropolitan,30,30,30
mettle,220,20,20
mew,142,102,190
mica,30,30,30
mick,81,133,81
microbe,168,184,104
microcosm,30,30,30
microgram,137,137,137
micrometer,128,128,128
micron,30,100,200
microphone,30,30,30
microscope,128,128,128
microscopic,191,171,64
microscopy,255,255,255
mid,81,69,81
midday,255,215,0
middle,137,140,90
middleman,95,95,95
midland,34,139,34
midnight,30,30,30
midst,79,114,164
midway,34,139,34
mien,128,0,128
mighty,205,105,105
migrate,139,69,19
mike,30,30,30
mildew,32,84,32
mile,34,139,34
mileage,79,79,79
milestone,34,139,34
militant,34,139,34
military,34,139,34
militia,34,139,34
milk,255,255,255
milky,255,255,255
mill,139,69,19
millennium,128,128,128
millimeter,128,128,128
million,237,137,137
millionaire,34,139,34
mime,180,180,180
mimic,142,122,15
mimicking,128,0,128
mimicry,128,128,128
mind,191,191,191
minded,255,255,255
mindful,255,255,255
mindfulness,30,100,200
mine,30,30,30
miner,30,30,30
mineral,128,128,128
mineralogy,139,69,19
mingle,34,139,34
miniature,255,105,180
minibus,255,215,0
minim,139,69,19
minimize,139,69,19
minimum,128,128,128
minister,255,255,255
ministerial,191,191,191
ministry,137,118,194
minivan,30,100,200
minnow,128,128,128
minor,79,114,164
minority,255,140,0
minstrel,34,139,34
mint,34,139,34
minute,95,95,95
minutiae,191,191,191
mir,139,69,19
miracle,255,235,127
miraculous,255,215,0
mirage,128,128,128
mire,139,69,19
mirror,191,191,191
mirth,255,105,180
misappropriation,139,69,19
misbehavior,79,114,164
miscarriage,30,30,30
miscellaneous,255,255,255
miscellany,128,0,128
mischievous,30,30,30
misconception,128,128,128
misconduct,128,128,128
miserable,79,79,79
miserably,128,128,128
misery,30,30,30
misfortune,128,128,128
misguided,127,79,27
mishap,79,34,26
misinformed,255,215,0
mislead,133,73,20
misleading,30,30,30
mismanagement,220,20,20
mismatched,30,30,30
misplaced,255,215,0
misrepresent,125,60,110
misrepresentation,128,0,128
misrepresented,128,128,128
miss,255,105,180
missile,243,125,6
missing,30,30,30
mission,127,79,27
missionary,255,255,255
misstatement,131,108,91
mist,159,159,159
mistake,133,98,73
mistaken,30,30,30
mister,84,49,24
mistress,228,78,78
mistrust,125,25,25
misty,128,128,128
misunderstand,174,74,74
misunderstanding,82,59,52
misuse,67,79,27
mite,72,79,48
miter,142,142,142
mix,174,112,49
mixed,128,128,128
mixture,139,69,19
moan,133,98,73
moat,84,84,109
mob,146,56,39
mobile,255,255,255
mobility,255,255,255
mobilization,144,197,144
mobilize,32,119,117
mockery,255,140,0
mocking,30,30,30
modal,128,128,128
mode,191,171,64
model,255,255,255
moderate,139,69,19
moderately,142,157,100
moderating,139,160,54
moderation,255,255,255
moderator,30,100,200
modern,255,255,255
modest,190,120,163
modesty,181,166,156
modicum,81,133,81
modifiable,255,215,0
modified,128,128,128
modify,64,99,64
modulation,128,128,128
module,30,100,200
mogul,128,128,128
moist,255,255,255
moisture,30,100,200
molar,255,255,255
molasses,84,49,24
mold,81,133,81
molding,139,69,19
molecular,79,114,164
molecule,255,255,255
molestation,30,30,30
molten,255,140,0
moment,255,255,255
momentary,255,255,255
momentous,30,100,200
monastic,255,255,255
monetary,34,139,34
money,34,139,34
monk,139,69,19
monochrome,79,79,79
monogamy,255,255,255
monogram,105,91,20
monograph,62,62,62
monologue,79,114,164
monopolist,30,30,30
monopoly,32,84,32
monsoon,30,100,200
monster,127,79,27
monstrosity,105,64,25
monte,34,139,34
monument,191,191,191
monumental,128,128,128
moo,30,30,30
moody,30,30,30
moon,255,228,85
moonlight,128,128,128
moored,104,92,24
mooring,133,98,73
moorings,139,69,19
moorland,76,111,28
moose,139,69,19
moot,30,100,200
mop,128,128,128
moral,255,255,255
morality,255,255,255
morals,255,255,255
morass,34,139,34
moratorium,30,30,30
morbid,30,30,30
morbidity,30,30,30
morgue,30,30,30
moribund,84,49,24
morn,255,140,0
morning,255,190,0
moron,255,140,0
moronic,30,30,30
morphine,255,140,0
morphism,128,128,128
morphology,34,139,34
morrow,255,140,0
morsel,197,87,99
mortal,181,81,81
mortality,30,30,30
mortar,79,79,79
mortgage,52,115,52
mortgagee,107,177,107
mortgagor,99,33,59
mortification,30,30,30
mortuary,30,30,30
mosaic,158,93,120
mosque,30,30,30
mosquito,220,20,20
moss,34,139,34
mossy,34,139,34
moth,139,69,19
mother,255,105,180
motion,255,255,255
motionless,142,142,142
motive,93,26,26
motley,139,69,19
motor,128,128,128
motorcycle,30,30,30
motto,191,191,191
mould,139,69,19
mound,139,69,19
mount,134,92,62
mountain,139,69,19
mountaineer,128,128,128
mountainous,139,69,19
mourn,30,30,30
mournful,54,54,54
mourning,30,30,30
mouse,128,128,128
moustache,139,69,19
mouth,237,62,100
mouthful,142,120,100
mouthpiece,137,87,112
movable,84,84,109
move,255,140,0
movement,105,138,133
mover,84,84,109
movie,30,30,30
mow,34,139,34
muck,139,69,19
mucous,255,215,0
mucus,34,139,34
mud,139,69,19
muddle,136,80,40
muddled,128,128,128
muddy,139,69,19
muff,99,75,59
muffled,99,75,59
muffler,255,140,0
mug,30,30,30
mule,133,98,73
multilateral,79,79,79
multiple,34,139,34
multiplication,144,139,17
multiplier,30,30,30
multiply,64,56,64
multitude,255,140,0
mum,128,128,128
mumble,128,128,128
mummy,128,128,128
mumps,128,128,128
mundane,139,69,19
municipal,133,98,73
municipality,86,104,26
mural,139,69,19
murder,220,20,20
murderer,93,26,26
murderous,220,20,20
murky,73,45,25
muscle,220,20,20
museum,255,255,255
mush,34,139,34
mushroom,165,130,105
music,30,100,200
musical,191,52,154
musk,139,69,19
musket,30,30,30
muslin,255,255,255
muss,197,104,9
mustang,139,69,19
mustard,255,215,0
musty,110,101,50
mutable,34,139,34
mutation,128,128,128
mutilated,220,20,20
mutilation,156,23,23
mutiny,30,30,30
mutter,138,119,65
mutton,255,255,255
mutually,128,128,128
muzzle,133,98,73
myopia,255,255,255
myopic,128,0,128
myriad,127,79,27
mysterious,79,79,79
mystery,139,69,19
mystic,128,0,128
mysticism,34,139,34
myth,191,107,64
mythical,128,0,128
mythology,128,128,128
nab,30,30,30
nadir,30,30,30
nag,139,69,19
nail,128,128,128
nameless,128,128,128
naming,255,255,255
nanny,128,128,128
nanometer,255,255,255
nap,135,152,177
nape,255,105,180
napkin,255,255,255
napping,220,20,20
nappy,133,98,73
narrate,81,133,81
narration,128,128,128
narrative,128,128,128
narrator,128,128,128
narrow,30,30,30
narrowing,30,30,30
nascent,34,139,34
nasty,93,26,26
natal,255,105,180
nation,34,139,34
nationality,30,100,200
native,255,255,255
naturalist,34,139,34
naturalization,34,139,34
naturalized,139,69,19
naturally,34,139,34
nature,34,139,34
naught,79,79,79
naughty,30,30,30
nausea,34,139,34
nauseous,69,115,29
nautical,30,100,200
naval,30,100,200
navel,255,105,180
navigable,30,100,200
navigate,30,100,200
navigation,34,139,34
navigator,30,100,200
navy,30,100,200
nay,30,30,30
neatly,255,255,255
nebula,255,255,255
nebulae,255,215,0
nebulous,128,128,128
necessarily,255,105,180
necessitate,114,123,84
necessities,34,139,34
necessity,34,139,34
necklace,255,215,0
nectar,255,177,0
needful,86,104,26
needle,128,128,128
negation,84,49,24
negative,79,79,79
neglect,128,128,128
neglecting,128,128,128
negligence,180,128,10
negligent,34,139,34
negligently,139,69,19
negligible,139,69,19
negotiate,81,133,81
negotiation,128,128,128
negotiator,142,122,15
negro,30,30,30
neigh,139,69,19
neighbor,255,177,0
neighborhood,139,69,19
neighboring,30,100,200
neonatal,255,255,255
neophyte,34,139,34
neoprene,30,30,30
nepotism,105,115,76
nervous,220,20,20
nervousness,128,128,128
nest,139,69,19
nestle,255,105,180
nestling,255,105,180
nether,30,30,30
nettle,32,84,32
